Y,X,fid,OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST,OBJECTID,UIDENTSTLA,IstSonstig,LICHT,STRZUSTAND,OBJECTID_1,layer,path
6891557.73733717,1496871.97409534,1860,235988,"11230127110000087541",11,0,2,2,2023,1,9,6,3,5,2,0,1,true,true,false,false,false,false,801753.0928,5826263.9794,13.4466297270001,52.502821779,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891217.91086689,1496485.82281178,2160,236288,"11230113110000037091",11,0,2,2,2023,1,17,6,3,0,5,2,1,false,false,false,true,false,true,801530.5481,5826042.9279,13.443160871,52.5009634850001,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891550.046392,1496881.58274851,2394,236522,"11230104110000004941",11,0,2,2,2023,1,15,4,3,5,2,1,1,true,true,false,false,false,false,801759.2356,5826259.6663,13.446716043,52.5027797230001,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891522.06144248,1496882.77119539,3616,238036,"11230217110000059891",11,0,2,2,2023,2,19,6,3,5,2,2,1,true,true,false,false,false,false,801761.0091,5826242.7025,13.446726719,52.5026266940001,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891223.2564154,1496635.24629636,3627,238047,"11230217110000059921",11,0,2,2,2023,2,4,6,3,9,1,2,1,false,false,false,true,false,false,801621.3937,5826051.7906,13.4445031650001,52.500992717,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891206.87068929,1496385.9181329,3695,238115,"11230223110000079911",11,0,2,2,2023,2,10,5,3,5,2,0,0,true,false,false,false,true,false,801470.0883,5826032.4654,13.442263412,52.5009031120001,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891553.03619669,1496877.84720035,4229,238649,"11230517110000066581",11,0,2,2,2023,5,16,4,3,5,7,0,0,false,true,false,true,false,false,801756.8475,5826261.343,13.446682486,52.5027960720001,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891239.60633302,1496350.8479292,5081,239501,"11230422110000082131",11,0,2,2,2023,4,3,7,2,2,6,2,0,false,true,false,false,false,true,801447.4932,5826051.045,13.441948371,52.501082126,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891524.10596496,1496884.21133564,5377,239797,"11230414110000050311",11,0,2,2,2023,4,18,6,3,5,2,0,1,true,true,false,false,false,false,801761.8099,5826243.9992,13.446739656,52.5026378740001,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891513.54431122,1496876.77174276,6082,240502,"11230614110000060281",11,0,2,2,2023,6,6,4,3,5,3,0,0,true,false,false,false,false,false,801757.6731,5826237.3004,13.4466728250001,52.5025801200001,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891271.35846581,1496330.05712186,6342,240762,"11230607110000030631",11,0,2,2,2023,6,14,4,3,5,2,0,0,false,true,false,true,false,false,801433.6357,5826069.5631,13.441761604,52.501255761,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891553.897167,1496876.77163144,7440,241860,"11230719110000076771",11,0,2,2,2023,7,14,4,3,2,2,0,0,false,true,false,true,false,false,801756.1599,5826261.8258,13.4466728240001,52.50280078,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
6891340.65840888,1496745.65786539,7793,242213,"11230709110000081831",11,0,2,2,2023,7,3,1,2,6,4,2,0,false,false,true,false,false,true,801684.2677,5826127.2956,13.4454950090001,52.5016347220001,1,,,,,,,Unfälle2023 — unfallorte2023_linref,C:\Users\Tabea Simon\Desktop\Übungen\Übung 3\Unfalldaten\Daten\Unfälle2023.gpkg|layername=unfallorte2023_linref
